OBJECTNUMMER;Energielabel;COORDS;LNG;LAT;
3429;"F";"POLYGON((4.846738 52.379711,4.846014 52.379696,4.846012 52.379748,4.846736 52.379763,4.846738 52.379711))";"4,846375";"52,3797305";
3430;"B";"POLYGON((4.897653 52.411145,4.897622 52.411076,4.897115 52.41116,4.897145 52.41123,4.897653 52.411145))";"4,897384";"52,411152";
3431;"D";"POLYGON((4.932866 52.392211,4.932767 52.392203,4.932697 52.392582,4.932796 52.392589,4.932866 52.392211))";"4,9327815";"52,392397";
3432;"D";"POLYGON((4.91395 52.399539,4.913881 52.399494,4.913433 52.399756,4.913503 52.399799,4.91395 52.399539))";"4,9136915";"52,3996465";
3433;"E";"POLYGON((4.926255 52.341503,4.926166 52.34145,4.925822 52.341665,4.925913 52.341719,4.926255 52.341503))";"4,9260385";"52,3415855";
3434;"E";"POLYGON((4.926675 52.341755,4.926585 52.341701,4.926242 52.341917,4.926331 52.34197,4.926675 52.341755))";"4,9264585";"52,3418355";
3435;"D";"POLYGON((4.914319 52.398645,4.914234 52.398613,4.913913 52.398936,4.914 52.398967,4.914319 52.398645))";"4,914116";"52,3987905";
3436;"E";"POLYGON((4.925817 52.3931,4.925718 52.393093,4.925648 52.393471,4.925747 52.393478,4.925817 52.3931))";"4,9257325";"52,3932855";
3437;"D";"POLYGON((4.835646 52.352663,4.835647 52.352604,4.834994 52.352598,4.834992 52.352654,4.835646 52.352663))";"4,8353195";"52,3526285";
3438;"D";"POLYGON((4.932187 52.392441,4.932089 52.392434,4.932022 52.392812,4.93212 52.392819,4.932187 52.392441))";"4,9321045";"52,3926255";
3439;"C";"POLYGON((4.81455 52.347319,4.814521 52.347204,4.814202 52.347235,4.814233 52.34735,4.81455 52.347319))";"4,814376";"52,3472765";
3440;"C";"POLYGON((4.902589 52.419694,4.902587 52.419626,4.902037 52.419633,4.902039 52.419702,4.902589 52.419694))";"4,902313";"52,4196625";
3441;"C";"POLYGON((4.815441 52.347329,4.815411 52.347214,4.815094 52.347246,4.815123 52.347362,4.815441 52.347329))";"4,8152675";"52,3472885";
3442;"C";"POLYGON((4.905402 52.419909,4.904946 52.419768,4.904891 52.419834,4.905347 52.419975,4.905402 52.419909))";"4,9051465";"52,419872";
3443;"C";"POLYGON((4.941238 52.394122,4.941183 52.394053,4.94074 52.394184,4.940796 52.394253,4.941238 52.394122))";"4,940989";"52,3941535";
3444;"F";"POLYGON((4.92755 52.343911,4.927475 52.343866,4.927063 52.344122,4.927138 52.344167,4.92755 52.343911))";"4,9273065";"52,344015";
3445;"D";"POLYGON((4.907386 52.389203,4.906854 52.389104,4.906823 52.389169,4.907353 52.389267,4.907386 52.389203))";"4,9071045";"52,389185";
3446;"C";"POLYGON((4.888346 52.414387,4.888263 52.414323,4.887895 52.414503,4.887974 52.414563,4.888346 52.414387))";"4,8881205";"52,414442";
3447;"E";"POLYGON((4.946155 52.341293,4.946054 52.341261,4.945809 52.341554,4.94591 52.341586,4.946155 52.341293))";"4,945982";"52,341425";
3448;"E";"POLYGON((4.90777 52.390587,4.907535 52.390296,4.907431 52.390328,4.907666 52.390618,4.90777 52.390587))";"4,9076005";"52,390457";
3449;"E";"POLYGON((4.83013 52.347338,4.830129 52.34726,4.829649 52.347255,4.829647 52.347332,4.83013 52.347338))";"4,8298885";"52,347298";
3450;"B";"POLYGON((4.916651 52.393111,4.916591 52.393041,4.916171 52.393177,4.916231 52.393247,4.916651 52.393111))";"4,916411";"52,393143";
3451;"C";"POLYGON((4.974642 52.290305,4.974524 52.290267,4.974318 52.290517,4.974436 52.290554,4.974642 52.290305))";"4,97448";"52,290411";
3452;"C";"POLYGON((4.891684 52.410715,4.89141 52.410498,4.891304 52.410548,4.891576 52.410764,4.891684 52.410715))";"4,891494";"52,4106315";
3453;"C";"POLYGON((4.99342 52.294079,4.993422 52.293806,4.993287 52.293805,4.993283 52.294078,4.99342 52.294079))";"4,9933525";"52,2939415";
3454;"F";"POLYGON((4.850829 52.380504,4.850208 52.380492,4.850207 52.380552,4.850827 52.380564,4.850829 52.380504))";"4,850518";"52,3805295";
3455;"C";"POLYGON((4.988892 52.291455,4.988818 52.29118,4.988684 52.291194,4.988763 52.291468,4.988892 52.291455))";"4,988788";"52,291325";
3456;"C";"POLYGON((4.814511 52.348653,4.814471 52.348538,4.814163 52.348568,4.814192 52.348684,4.814511 52.348653))";"4,814337";"52,3486095";
3457;"G";"POLYGON((4.933721 52.351074,4.933636 52.351024,4.933493 52.351115,4.933449 52.351088,4.933406 52.351117,4.933447 52.351143,4.933304 52.351234,4.933388 52.351285,4.933721 52.351074))";"4,9335125";"52,3511545";
3458;"C";"POLYGON((4.829187 52.362887,4.829187 52.362826,4.828582 52.362821,4.82858 52.362882,4.829187 52.362887))";"4,8288835";"52,362854";
3459;"E";"POLYGON((4.844098 52.347146,4.844097 52.347077,4.843555 52.347075,4.843555 52.347143,4.844098 52.347146))";"4,8438265";"52,3471105";
3460;"C";"POLYGON((4.897143 52.422486,4.897072 52.422421,4.896987 52.422412,4.896908 52.422434,4.896865 52.422508,4.896901 52.422556,4.897021 52.422581,4.8971 52.422559,4.897143 52.422486))";"4,897004";"52,422497";
3461;"C";"POLYGON((4.897951 52.42311,4.897939 52.423057,4.897838 52.42301,4.897716 52.423032,4.897675 52.423077,4.897686 52.42313,4.897787 52.423178,4.897909 52.423156,4.897951 52.42311))";"4,897813";"52,423096";
3462;"C";"POLYGON((4.966165 52.304062,4.966051 52.304023,4.966082 52.303988,4.966026 52.303969,4.965995 52.304004,4.965914 52.303976,4.965946 52.303942,4.965886 52.303921,4.965854 52.303955,4.965814 52.303941,4.96575 52.304009,4.966103 52.304131,4.966165 52.304062))";"4,9659575";"52,304026";
3463;"C";"POLYGON((4.89676 52.422412,4.896724 52.422337,4.896648 52.422312,4.896526 52.422334,4.896484 52.42238,4.896495 52.422433,4.896596 52.42248,4.896718 52.422459,4.89676 52.422412))";"4,896622";"52,422398";
3464;"C";"POLYGON((4.897916 52.422686,4.897844 52.422621,4.897759 52.422612,4.897681 52.422634,4.897637 52.422708,4.897674 52.422756,4.897794 52.422781,4.897872 52.422759,4.897916 52.422686))";"4,8977765";"52,422697";
3465;"C";"POLYGON((4.897526 52.422586,4.897454 52.422521,4.897369 52.422512,4.897291 52.422534,4.897248 52.422607,4.897284 52.422655,4.897404 52.422682,4.897482 52.422659,4.897526 52.422586))";"4,897387";"52,422598";
3466;"D";"POLYGON((4.879 52.416761,4.878718 52.416536,4.878614 52.416585,4.878897 52.41681,4.879 52.416761))";"4,878807";"52,4166715";
